image_id,caption
test2017/000000339995," a young boy holding a skateboard
"
test2017/000000088328," a cat sitting on top of a laptop
"
test2017/000000426344," a group of people on skis
"
test2017/000000265032," a group of people boarding a plane
"
test2017/000000223067," a person holding a fork and a slice of pizza
"
test2017/000000532443," a baseball player sliding into a base
"
test2017/000000184260," a baby zebra standing next to an adult zebra
"
test2017/000000562274," a person on skis on a snow covered slope
"
test2017/000000469453," two women holding up two pizzas
"
test2017/000000014667," two men sitting on a bench
"
test2017/000000091679," a cat laying down with its head on a person's shoe
"
test2017/000000479640," a street sign that is on the side of the road
"
test2017/000000389930," a baseball player that is playing baseball
"
test2017/000000332618," two children holding umbrellas
"
test2017/000000500397," a cat sitting on a seat in a car
"
test2017/000000231463," a group of girls playing soccer
"
